location,year_range,region_of_residence,nights,visits,gbp_spent
West Dunbartonshire,2015-2017,Scotland,58000,36000,4000000
West Dunbartonshire,2015-2017,All of GB,140000,64000,13000000
West Dunbartonshire,2015-2017,England,82000,28000,8000000
West Dunbartonshire,2013-2015,All of GB,118000,61000,8000000
West Dunbartonshire,2013-2015,Scotland,49000,32000,3000000
West Dunbartonshire,2013-2015,England,64000,27000,4000000
West Dunbartonshire,2017-2019,All of GB,174000,70000,15000000
West Dunbartonshire,2017-2019,England,76000,22000,11000000
West Dunbartonshire,2009-2011,Scotland,153000,68000,14000000
West Dunbartonshire,2011-2013,All of GB,256000,81000,16000000
West Dunbartonshire,2009-2011,All of GB,318000,96000,19000000
West Dunbartonshire,2009-2011,England,110000,24000,3000000
West Dunbartonshire,2012-2014,All of GB,192000,67000,10000000
West Dunbartonshire,2012-2014,England,90000,32000,6000000
West Dunbartonshire,2012-2014,Scotland,91000,26000,2000000
West Dunbartonshire,2014-2016,All of GB,128000,64000,12000000
West Dunbartonshire,2014-2016,England,91000,36000,9000000
West Dunbartonshire,2011-2013,England,81000,29000,4000000
West Dunbartonshire,2011-2013,Scotland,161000,44000,9000000
West Dunbartonshire,2016-2018,England,84000,28000,8000000
West Dunbartonshire,2016-2018,All of GB,144000,56000,12000000
West Dunbartonshire,2014-2016,Scotland,40000,28000,3000000
West Dunbartonshire,2016-2018,Scotland,59000,28000,4000000
West Dunbartonshire,2010-2012,All of GB,273000,92000,19000000
West Dunbartonshire,2010-2012,Scotland,183000,59000,13000000
West Dunbartonshire,2017-2019,Scotland,98000,48000,4000000
West Dunbartonshire,2010-2012,England,84000,27000,4000000
West Lothian,2010-2012,Scotland,148000,72000,3000000
West Lothian,2010-2012,England,124000,51000,10000000
West Lothian,2010-2012,All of GB,282000,124000,14000000
West Lothian,2009-2011,All of GB,476000,156000,14000000
West Lothian,2009-2011,England,280000,56000,9000000
West Lothian,2009-2011,Scotland,186000,98000,5000000
West Lothian,2014-2016,England,278000,72000,8000000
West Lothian,2014-2016,Scotland,88000,59000,6000000
West Lothian,2012-2014,Scotland,114000,66000,7000000
West Lothian,2016-2018,Scotland,53000,24000,3000000
West Lothian,2012-2014,All of GB,330000,143000,15000000
West Lothian,2012-2014,England,271000,71000,7000000
West Lothian,2016-2018,All of GB,197000,86000,12000000
West Lothian,2014-2016,All of GB,313000,140000,16000000
West Lothian,2016-2018,England,144000,62000,9000000
West Lothian,2017-2019,England,130000,56000,9000000
West Lothian,2017-2019,All of GB,218000,95000,12000000
West Lothian,2017-2019,Scotland,88000,39000,3000000
West Lothian,2011-2013,England,124000,49000,9000000
West Lothian,2011-2013,Scotland,104000,54000,4000000
West Lothian,2011-2013,All of GB,228000,103000,13000000
West Lothian,2013-2015,England,243000,60000,7000000
West Lothian,2013-2015,All of GB,291000,135000,15000000
West Lothian,2013-2015,Scotland,100000,66000,7000000
West Lothian,2015-2017,England,115000,48000,7000000
West Lothian,2015-2017,Scotland,39000,27000,2000000
West Lothian,2015-2017,All of GB,157000,77000,10000000
Scotland,2009-2011,Scotland,18434000,6378000,970000000
Scotland,2009-2011,England,25103000,5906000,1644000000
Scotland,2014-2016,All of GB,40607000,12007000,3016000000
Scotland,2009-2011,All of GB,44671000,12499000,2698000000
Scotland,2013-2015,England,22957000,5721000,1777000000
Scotland,2013-2015,All of GB,41890000,12210000,3013000000
Scotland,2013-2015,Scotland,17977000,6227000,1163000000
Scotland,2014-2016,Scotland,16936000,5940000,1126000000
Scotland,2014-2016,England,22698000,5787000,1823000000
Scotland,2012-2014,All of GB,42551000,12464000,2884000000
Scotland,2012-2014,Scotland,18464000,6441000,1146000000
Scotland,2012-2014,England,22965000,5742000,1649000000
Scotland,2017-2019,England,23002000,5920000,1767000000
Scotland,2017-2019,All of GB,41937000,12426000,2989000000
Scotland,2017-2019,Scotland,17996000,6284000,1163000000
Scotland,2011-2013,All of GB,43876000,12745000,2933000000
Scotland,2011-2013,Scotland,18188000,6580000,1097000000
Scotland,2011-2013,England,24459000,5943000,1730000000
Scotland,2016-2018,All of GB,39424000,11943000,2888000000
Scotland,2016-2018,England,22836000,6062000,1788000000
Scotland,2016-2018,Scotland,15575000,5632000,1040000000
Scotland,2015-2017,Scotland,15759000,5650000,1079000000
Scotland,2010-2012,Scotland,18949000,6593000,1043000000
Scotland,2015-2017,England,23109000,6141000,1928000000
Scotland,2010-2012,All of GB,44181000,12736000,2809000000
Scotland,2010-2012,England,24112000,5921000,1675000000
Scotland,2015-2017,All of GB,39759000,12004000,3061000000
Clackmannanshire,2010-2012,England,75000,24000,4000000
Clackmannanshire,2010-2012,All of GB,130000,50000,8000000
Clackmannanshire,2015-2017,All of GB,112000,34000,4000000
Clackmannanshire,2015-2017,England,86000,21000,3000000
Clackmannanshire,2010-2012,Scotland,35000,21000,2000000
Clackmannanshire,2014-2016,England,89000,23000,3000000
Clackmannanshire,2014-2016,All of GB,129000,44000,5000000
Clackmannanshire,2015-2017,Scotland,26000,13000,1000000
Clackmannanshire,2014-2016,Scotland,39000,21000,2000000
Clackmannanshire,2016-2018,Scotland,11000,9000,1000000
Clackmannanshire,2016-2018,England,37000,13000,1000000
Clackmannanshire,2017-2019,England,46000,16000,1000000
Clackmannanshire,2017-2019,Scotland,65000,21000,2000000
Clackmannanshire,2016-2018,All of GB,47000,22000,2000000
Clackmannanshire,2017-2019,All of GB,111000,38000,3000000
Clackmannanshire,2013-2015,Scotland,42000,21000,2000000
Clackmannanshire,2011-2013,All of GB,80000,35000,5000000
Clackmannanshire,2012-2014,England,71000,27000,3000000
Clackmannanshire,2012-2014,Scotland,25000,14000,1000000
Clackmannanshire,2012-2014,All of GB,96000,41000,5000000
Clackmannanshire,2011-2013,England,55000,20000,3000000
Clackmannanshire,2011-2013,Scotland,24000,15000,2000000
Clackmannanshire,2009-2011,Scotland,39000,23000,2000000
Clackmannanshire,2009-2011,England,39000,21000,3000000
Clackmannanshire,2013-2015,All of GB,135000,47000,6000000
Clackmannanshire,2009-2011,All of GB,99000,49000,7000000
Clackmannanshire,2013-2015,England,93000,26000,4000000
Dumfries and Galloway,2017-2019,England,1502000,418000,89000000
Dumfries and Galloway,2017-2019,Scotland,716000,265000,38000000
Dumfries and Galloway,2015-2017,All of GB,2584000,691000,139000000
Dumfries and Galloway,2015-2017,Scotland,703000,245000,37000000
Dumfries and Galloway,2015-2017,England,1791000,436000,99000000
Dumfries and Galloway,2010-2012,All of GB,2828000,747000,143000000
Dumfries and Galloway,2013-2015,England,1711000,412000,87000000
Dumfries and Galloway,2013-2015,Scotland,765000,269000,35000000
Dumfries and Galloway,2013-2015,All of GB,2528000,702000,127000000
Dumfries and Galloway,2010-2012,England,1578000,387000,99000000
Dumfries and Galloway,2010-2012,Scotland,1177000,344000,41000000
Dumfries and Galloway,2012-2014,All of GB,2316000,673000,115000000
Dumfries and Galloway,2011-2013,England,1458000,406000,92000000
Dumfries and Galloway,2011-2013,All of GB,2444000,729000,137000000
Dumfries and Galloway,2011-2013,Scotland,896000,303000,40000000
Dumfries and Galloway,2009-2011,England,1692000,403000,96000000
Dumfries and Galloway,2009-2011,All of GB,2863000,756000,139000000
Dumfries and Galloway,2009-2011,Scotland,1103000,341000,40000000
Dumfries and Galloway,2012-2014,Scotland,872000,294000,34000000
Dumfries and Galloway,2014-2016,All of GB,2800000,694000,135000000
Dumfries and Galloway,2012-2014,England,1393000,357000,76000000
Dumfries and Galloway,2014-2016,Scotland,836000,274000,40000000
Dumfries and Galloway,2014-2016,England,1912000,407000,92000000
Dumfries and Galloway,2017-2019,All of GB,2288000,699000,131000000
Dumfries and Galloway,2016-2018,England,1550000,406000,86000000
Dumfries and Galloway,2016-2018,All of GB,2378000,682000,131000000
Dumfries and Galloway,2016-2018,Scotland,727000,257000,42000000
East Ayrshire,2010-2012,Scotland,100000,36000,4000000
East Ayrshire,2010-2012,All of GB,182000,70000,8000000
East Ayrshire,2010-2012,England,81000,33000,4000000
East Ayrshire,2011-2013,England,102000,35000,6000000
East Ayrshire,2011-2013,Scotland,52000,33000,3000000
East Ayrshire,2011-2013,All of GB,155000,69000,9000000
East Ayrshire,2012-2014,All of GB,154000,61000,11000000
East Ayrshire,2012-2014,Scotland,58000,31000,6000000
East Ayrshire,2012-2014,England,95000,30000,5000000
East Ayrshire,2013-2015,All of GB,166000,62000,10000000
East Ayrshire,2013-2015,England,105000,30000,5000000
East Ayrshire,2013-2015,Scotland,61000,32000,5000000
East Ayrshire,2016-2018,All of GB,214000,60000,15000000
East Ayrshire,2016-2018,England,159000,40000,7000000
East Ayrshire,2017-2019,All of GB,223000,67000,16000000
East Ayrshire,2016-2018,Scotland,38000,19000,7000000
East Ayrshire,2017-2019,England,167000,45000,8000000
East Ayrshire,2017-2019,Scotland,49000,21000,8000000
East Ayrshire,2014-2016,England,84000,27000,4000000
East Ayrshire,2014-2016,Scotland,46000,22000,4000000
East Ayrshire,2014-2016,All of GB,130000,49000,8000000
East Ayrshire,2015-2017,All of GB,174000,59000,12000000
East Ayrshire,2015-2017,England,117000,35000,4000000
East Ayrshire,2015-2017,Scotland,41000,22000,7000000
East Ayrshire,2009-2011,England,198000,37000,5000000
East Ayrshire,2009-2011,All of GB,372000,85000,9000000
East Ayrshire,2009-2011,Scotland,173000,48000,4000000
East Lothian,2013-2015,All of GB,600000,168000,32000000
East Lothian,2013-2015,England,265000,83000,17000000
East Lothian,2014-2016,Scotland,250000,69000,12000000
