year,method_of_travel,gbp_spent,visits
2018,Walked,251800000,11200000
2018,Caravan/Campervan,1800000,200000
2014,Walked,97800000,8199999.999999999
2017,Walked,168800000,8500000
2018,Plane,193100000,1700000
2015,Plane,89400000,900000
2013,Plane,36700000,200000
2016,Plane,8300000.000000001,700000
2019,Walked,205800000,7500000
2014,Boat/Ship/Ferry,21800000,600000
2016,Walked,135300000,7900000
2019,Bus or Coach - Regular,417200000,12700000
2015,Walked,117200000,7700000
2013,Walked,154900000,7400000
2015,Bus or Coach - Regular,385400000,14200000
2014,Train,907400000,14300000
2018,Taxi,192400000,3500000
2014,Taxi,219900000,4300000
2015,Taxi,96100000,2900000
2014,Plane,38200000,500000
2013,Taxi,163800000,2700000
2019,Plane,123500000,1300000
2019,Taxi,224400000,5700000
2016,Bicycle,8600000,900000
2013,Bicycle,3400000,1500000
2017,Plane,114700000,1800000
2018,Bicycle,12800000,700000
2019,Bicycle,15500000,1200000
2016,Taxi,277500000,4900000
2017,Bicycle,28600000,1500000
2017,Boat/Ship/Ferry,27800000,500000
2018,Bus or Coach - Regular,452200000,12200000
2014,Bus or Coach - Minibus,8400000,300000
2018,Lorry/Truck/Van,2100000,300000
2018,Boat/Ship/Ferry,2100000,200000
2013,Boat/Ship/Ferry,12200000,800000
2013,Bus or Coach - Regular,629500000,12800000
2015,Boat/Ship/Ferry,16100000.000000002,600000
2014,Bus or Coach - Regular,677300000,11600000
2016,Boat/Ship/Ferry,2400000,100000
2019,Boat/Ship/Ferry,27700000,500000
2016,Bus or Coach - Regular,414700000,13800000
2013,Bus or Coach - Minibus,2900000,200000
2016,Lorry/Truck/Van,4300000,300000
2015,Bus or Coach - Minibus,27600000,900000
2017,Caravan/Campervan,10700000,800000
2019,Caravan/Campervan,24200000,400000
2019,Bus or Coach - Organised Tour,114800000,2500000
2018,Bus or Coach - Organised Tour,13300000,1100000
2015,Bus or Coach - Organised Tour,73800000,1900000
2017,Bus or Coach - Regular,435900000,13200000
2013,Bus or Coach - Organised Tour,104800000,1400000
2014,Caravan/Campervan,27500000,100000
2016,Caravan/Campervan,38100000,500000
2015,Caravan/Campervan,11800000,200000
2017,Bus or Coach - Organised Tour,106400000,3100000
2013,Caravan/Campervan,5100000,400000
2016,Bus or Coach - Organised Tour,59200000,1600000
2014,Bus or Coach - Organised Tour,16200000,700000
2014,Other,3500000,1000000
2015,Other,9500000,600000
2017,Other,46700000,1200000
2019,Other,30700000,1400000
2016,Train,762800000,14100000
2017,Tube,10400000,600000
2018,Tube,4300000,600000
2013,Tube,40800000,200000
2013,Lorry/Truck/Van,400000,400000
2017,Lorry/Truck/Van,9700000,500000
2016,All,4916100000,142000000
2015,Lorry/Truck/Van,4300000,100000
2019,Lorry/Truck/Van,6500000,300000
2016,Other,21400000,2100000
2014,Lorry/Truck/Van,200000,200000
2018,Car - hired,131900000,2700000
2017,Car - hired,254100000,6400000
2019,Car - hired,138900000,2300000
2015,Car - hired,46000000,1700000
2013,Car - hired,31400000,1700000
2015,Tube,900000,100000
2014,Tube,5300000,100000
2019,Tube,23600000,1600000
2019,Train,866600000,15900000
2015,Train,581700000,15100000
2016,Tube,6100000,500000
2013,Train,635900000,13200000
2017,Train,1276300000,16000000
2014,Car - hired,66000000,1400000
2018,Train,855400000,16800000
2017,Car - own/friends/family,3324900000,92600000
2019,Car - own/friends/family,3554100000,80000000
2014,Car - own/friends/family,2922200000,82200000
2018,Car - own/friends/family,3269800000,84200000
2019,Tram,3900000,400000
2014,Bicycle,2900000,1300000
2013,Tram,0,0
2015,Tram,9100000,200000
2013,Motor cycle,4300000,500000
2016,Car - own/friends/family,3025200000,91900000
2017,Taxi,151700000,3900000
2015,Car - own/friends/family,2443400000,76000000
2015,Motor cycle,1500000,200000
2013,Car - own/friends/family,2805600000,79700000
2014,Motor cycle,1200000,200000
2018,Other,44200000,2000000
2015,All,3921500000,124100000
2017,All,5995000000,151100000
2013,Other,14900000,700000
2016,Car - hired,146300000,2500000
2018,All,5473900000,137800000
2019,All,5777300000,133600000
2017,Tram,10100000,600000
2014,Tram,4400000,400000
2015,Bicycle,7900000,800000
2016,Tram,5700000,200000
2013,All,4646700000,123900000
2014,All,5020200000,127100000
2018,Tram,46800000,300000
